institution,project_id,country,title,description,amount_original,original_currency,amount_eur,amount_usd,approval_date,approval_year,closing_date,status,sector,instrument_type,public_private,implementing_entity,source_url,financial_intermediary,guarantee_blended,eu_alignment,humanitarian_dev
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/802/006,Central African Republic,1.2.3.  EMERGENCY HIV AND AIDS,"By 2016, 80% of emergency-affected population has access to relevant HIV and AIDS prevention, care and treatment services, e.g., post-rape care including post-exposure prophylaxis, sexually transmitted infection treatment, prevention of mother-to-child transmission of HIV (PMTCT) and antiretroviral ",885652.0,USD,666656.0,885652.0,2014-02-22,2014.0,,Pipeline,humanitarian assistance,grant,public,,,no,no,,humanitarian
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/803/001,Central African Republic,"2.1.1: Water, Sanitation, and Hygiene (WASH) NORMS AND STANDARS","By 2016, CAR has regulatory norms and standards and action plans for the effective implementation of drinking water supply and sanitation at individual and community levels.",707923.0,USD,550656.0,707923.0,2012-01-01,2012.0,,Pipeline,water and sanitation,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/803/001,Central African Republic,"2.1.1: Water, Sanitation, and Hygiene (WASH) NORMS AND STANDARS","By 2016, CAR has regulatory norms and standards and action plans for the effective implementation of drinking water supply and sanitation at individual and community levels.",707923.0,USD,550656.0,707923.0,2012-01-01,2012.0,,Pipeline,water and sanitation,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/803/001,Central African Republic,"2.1.1: Water, Sanitation, and Hygiene (WASH) NORMS AND STANDARS","By 2016, CAR has regulatory norms and standards and action plans for the effective implementation of drinking water supply and sanitation at individual and community levels.",707923.0,USD,550656.0,707923.0,2012-01-01,2012.0,,Pipeline,water and sanitation,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/803/002,Central African Republic,2.1.2: WATER SUPPLY AND MAINTENANCE SYST,By 2016 drinking water points are available for at least 70% of people in targeted areas of the programme (including 70% of health facilities (FOSA) and 50% of primary schools)  and a community management and maintenance system for hand pumps is developed and functional.,7209040.0,USD,5607530.0,7209040.0,2012-01-01,2012.0,,Pipeline,water and sanitation,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/803/002,Central African Republic,2.1.2: WATER SUPPLY AND MAINTENANCE SYST,By 2016 drinking water points are available for at least 70% of people in targeted areas of the programme (including 70% of health facilities (FOSA) and 50% of primary schools)  and a community management and maintenance system for hand pumps is developed and functional.,7209040.0,USD,5607530.0,7209040.0,2012-01-01,2012.0,,Pipeline,water and sanitation,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/803/003,Central African Republic,2.1.3: Community Led Total Sanitation (CLTS) APPROACH AND HYGIENE,"By 2016, at least 60% of targeted villages get  open defecation free status (ODF) and communities adopt good hygiene practices, particularly hand washing with soap.",2265079.0,USD,1761885.0,2265079.0,2012-01-01,2012.0,,Pipeline,water and sanitation,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/803/003,Central African Republic,2.1.3: Community Led Total Sanitation (CLTS) APPROACH AND HYGIENE,"By 2016, at least 60% of targeted villages get  open defecation free status (ODF) and communities adopt good hygiene practices, particularly hand washing with soap.",2265079.0,USD,1761885.0,2265079.0,2012-01-01,2012.0,,Pipeline,water and sanitation,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/803/004,Central African Republic,2.1.4: SANITATION AND HYGIENE IN SCHOOLS,"By 2016, at least 70% of health facilities (FOSA) and 50% of primary schools in areas targeted by the program have adequate sanitation facilities and students, teachers and health staff are implementing good hygiene practices.",1497309.0,USD,1164677.0,1497309.0,2012-01-01,2012.0,,Pipeline,water and sanitation,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/803/004,Central African Republic,2.1.4: SANITATION AND HYGIENE IN SCHOOLS,"By 2016, at least 70% of health facilities (FOSA) and 50% of primary schools in areas targeted by the program have adequate sanitation facilities and students, teachers and health staff are implementing good hygiene practices.",1497309.0,USD,1164677.0,1497309.0,2012-01-01,2012.0,,Pipeline,water and sanitation,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/803/005,Central African Republic,"2.1.5: EMERGENCY Water, Sanitation, and Hygiene (WASH)","Households living in areas affected by conflict and emergencies (including IDPs) have access to at least 5-15 liters / person / day of safe drinking water, basic sanitation and adopt good hygiene practices.",23611000.0,USD,18365744.0,23611000.0,2012-01-01,2012.0,,Pipeline,humanitarian assistance,grant,public,,,no,no,,humanitarian
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/803/005,Central African Republic,"2.1.5: EMERGENCY Water, Sanitation, and Hygiene (WASH)","Households living in areas affected by conflict and emergencies (including IDPs) have access to at least 5-15 liters / person / day of safe drinking water, basic sanitation and adopt good hygiene practices.",23611000.0,USD,18365744.0,23611000.0,2012-01-01,2012.0,,Pipeline,humanitarian assistance,grant,public,,,no,no,,humanitarian
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/803/005,Central African Republic,"2.1.5: EMERGENCY Water, Sanitation, and Hygiene (WASH)","Households living in areas affected by conflict and emergencies (including IDPs) have access to at least 5-15 liters / person / day of safe drinking water, basic sanitation and adopt good hygiene practices.",23611000.0,USD,18365744.0,23611000.0,2012-01-01,2012.0,,Pipeline,humanitarian assistance,grant,public,,,no,no,,humanitarian
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/804/001,Central African Republic,3.1.1: INCREASED NET ENROLLMENT,"By 2016, the net enrollment rate is increased from 66% to 80% in seven post conflict prefectures.",14602004.0,USD,11358124.0,14602004.0,2012-01-01,2012.0,,Pipeline,fragility and conflict,grant,public,,,no,no,,development
UNICEF,XM-DAC-41122-Central African Republic-0750/A0/04/804/001,Central African Republic,3.1.1: INCREASED NET ENROLLMENT,"By 2016, the net enrollment rate is increased from 66% to 80% in seven post conflict prefectures.",14602004.0,USD,11358124.0,14602004.0,2012-01-01,2012.0,,Pipeline,fragility and conflict,grant,public,,,no,no,,development
